,CD_IN,VB_DT,_allow_,Adverb,MD_VB_NNS,NN_IN_CD,Adjective,MD_VB_DT,_use_,_interface_,SubTrees,_preferred_,NN_NNS,Length,_year_,VB_IN_DT,VB_TO,_player_,TO_DT_NN,_shall_allow_,_software_,VBG_TO,VB_DT_NN,_record_,NN_IN_IN,_able_,VB_JJ_IN,RB_NNS,NNS_IN_CD,MD_VB,IN_NNP,NN_IN_NNS,_report_,_reveal_,_functionality_,_operate_,CD_IN_DT,VB_VBN_IN,Verb,VB_IN,NN_TO_VB,VB_NNS,VB_NN_NNS,_meeting_,NNS_MD,_authorized_,_application_shall_,VBP_VBN,_response_time_,VB_CD,_search_,_product_shall_allow_,MD_VB_IN,NN_TO,Noun,_add_,_server_,_shall_,VB_DT_JJ,_prior_,_shall_let_,_training_,NNS_TO,Words,_2_,_student_,MD_VB_TO,Modal,NN_NNS_CC,JJR_IN,MD_VB_RB,JJR_IN_CD,IN_NNS,NNS_IN_DT,CD_NNS_CD,_cohort_,RB_JJ,_product_shall_record_,DT_NN_TO,_system_,_automatically_,WP_MD_VB,VB_RB_JJR,VBG_CC,NNS_IN,_saved_,_100_,IN_DT_NNS,TreeHeight,IN_CD_IN,NNS_CD,VB_NNS_WDT,VBN_IN_CD,_streaming_server_,_installed_,_hit_,NNS_CD_IN,VB_JJ_NN,TO_NN,TO_VB_NNS,RequirementText,ProjectID,Class,IsQuality,IsFunctional
0,0,1,0,0.023809524,0,0,0.095238095,1,0,0,3,0,1,292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,1,1,0,0,0,0,42,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,1
1,0,0,0,0,0,0,0.285714286,0,0,0,3,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,1,0,0,0,0,0,14,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
2,0,0,0,0,0,1,0.142857143,0,0,0,2,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0,0,1,0,0,0,0,0,14,0,0,0,0.071428571,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
3,0,0,0,0.052631579,0,0,0.210526316,0,0,0,2,0,1,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052631579,0,0,1,0,0,0,0,0,19,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
4,0,1,0,0,0,0,0.125,1,0,0,4,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.041666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.041666667,0,0,1,1,0,0,0,0,24,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
5,0,0,0,0.052631579,0,1,0,0,0,0,2,0,0,110,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421053,0,0,1,0,0,0,0,0,19,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
6,0,0,0,0.15,0,1,0.1,0,0,0,2,0,0,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,20,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
7,0,0,0,0.035714286,0,0,0.107142857,0,0,0,3,0,1,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.071428571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,1,0,0,0,0,0,28,0,0,0,0.071428571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
8,0,0,0,0.133333333,0,1,0.066666667,0,0,0,2,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.266666667,0,0,1,0,0,0,0,0,15,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
9,0,1,0,0.03030303,0,0,0.151515152,0,0,0,2,0,0,197,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,1,0,0,0,0,0,33,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
