,CD_IN,MD_VB_DT,NN_IN_CD,_allow_,SubTrees,Noun,_interface_,VB_JJ_IN,Adverb,VB_DT,_use_,VB_TO,VB_CD,_meeting_,MD_VB,VB_IN,Modal,_shall_allow_,TO_DT_NN,MD_VB_NNS,_preferred_,MD_VB_RB,RB_NNS,VBG_TO,_status_,_software_,Adjective,VBN_IN_NNS,NNS_IN_DT,_report_,VB_DT_NN,IN_NN_NN,VB_CC,_access_,_let_,VB_NNS,CD_IN_DT,NN_NN_CC,_limited_,NN_NNS,NN_TO,Verb,VB_NN_NNS,VBP_VBN,VBN_TO_VB,NNS_MD,_operate_,_server_,Length,DT_NN,MD_VB_IN,_player_,NN_CD_IN,NN_IN_NNS,_response_time_,_handle_,_streaming_server_,_shall_include_,VB_VBN_IN,CD_NNS_CD,_automatically_,NN_TO_VB,VB_DT_JJ,Words,_include_,_team_,_product_shall_allow_,NNS_IN_CD,IN_VBN_IN,_application_shall_,VBN_NN,DT_VBG,_hit_,RB_JJ,_authorized_,_prior_,NN_NNS_CC,_shall_,NNS_TO,JJR_IN_CD,_search_,NNS_NNS,IN_NN_IN,_record_,NNS_IN_JJ,_ability_,CC_JJ_NN,_installed_,_including_,JJ_MD,DT_JJ_JJ,JJR_IN,VB_TO_DT,VB_CD_NNS,CD_NN,_cohort_,CD_CD,IN_NNS,WP_MD_VB,DT_NN_TO,RequirementText,ProjectID,Class,OnlyQuality,IsFunctional
0,0,1,0,0,3,0.142857143,0,0,0.023809524,1,0,0,0,0,1,0,0.023809524,0,0,0,0,0,0,0,0,1,0.095238095,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.047619048,0,0,0,0,0,0,292,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,0,0
1,0,0,0,0,3,0.071428571,0,0,0,0,0,0,0,0,1,0,0.071428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.071428571,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
2,0,0,1,0,2,0.214285714,0,0,0,0,0,0,0,0,1,0,0.071428571,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.071428571,0,0,0,0,0,0,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
3,0,0,0,0,2,0.052631579,0,0,0.052631579,0,0,0,0,0,1,1,0.052631579,0,0,0,0,0,0,0,0,0,0.210526316,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.105263158,0,0,0,1,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
4,0,1,0,0,4,0.041666667,0,0,0,1,0,0,0,0,1,1,0.083333333,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.041666667,0,0,0,0,0,0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
5,0,0,1,0,2,0.368421053,0,0,0.052631579,0,0,1,0,0,0,0,0.052631579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1,F,1,0
6,0,0,1,0,2,0.1,0,0,0.15,0,0,1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,F,1,0
7,0,0,0,0,3,0.142857143,0,0,0.035714286,0,0,0,0,0,1,0,0.071428571,0,1,0,0,0,0,0,0,0,0.107142857,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.071428571,0,0,0,0,0,0,180,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1,F,1,0
8,0,0,1,0,2,0.266666667,0,0,0.133333333,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.066666667,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,F,1,0
9,0,0,0,0,2,0.333333333,0,0,0.03030303,1,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,1,0,0.151515152,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.03030303,0,0,0,0,0,0,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,F,1,0
